modelNo	seriesName	style	crank_length	speeds	chainring
FC-R9100-P	DURA-ACE R9100 Series	road	170| 172.5| 175	11	55-42T| 54-42T| 53-39T| 52-36T| 50-34T
FC-R9100	DURA-ACE R9100 Series	road	165| 167.5| 170| 172.5| 175| 177.5| 180	11	55-42T| 54-42T| 53-39T| 52-36T| 50-34T
FC-9000	DURA-ACE 9000 Series	road	165| 167.5| 170| 172.5| 175| 177.5| 180	11	55-42T| 54-42T| 53-39T| 52-38T| 52-36T| 50-34T
FC-R8000	ULTEGRA R8000 Series	road	165| 170| 172.5| 175	11	50-34T| 52-36T| 53-39T| 46-36T
FC-R7000	105 R7000 Series	road	160| 165| 170| 172.5| 175	11	50-34T| 52-36T| 53-39T
FC-5800	105 5800 Series	road	165| 170| 175	11	53-39T 52-36T 50-34T
FC-4703	TIAGRA 4700 Series	road	165| 170| 172.5| 175	10	50-39-30T
FC-4700	TIAGRA 4700 Series	road	165| 170| 172.5| 175	10	52-36T| 50-34T| 48-34T
FC-RS400	TIAGRA 4600 Series	road	170| 175	10	50-34T
FC-R3030-CG	SORA R3000 Series	road	165| 170| 175	9	50-39-30T
FC-R3030	SORA R3000 Series	road	165| 170| 175	9	50-39-30T
FC-R3000-CG	SORA R3000 Series	road	165| 170| 175	9	50-34T
FC-R3000	SORA R3000 Series	road	165| 170| 175	9	50-34T
FC-R350	SORA 3500 Series	road	165| 170| 175	9	52-39T
FC-R345	SORA 3500 Series	road	170| 175	9	50-34T
FC-RS200	CLARIS R2000 Series	road	165| 170| 175	8	50-34T| 46-34T
FC-R2030	CLARIS R2000 Series	road	165| 170| 175	8	50-39-30T
FC-R2000	CLARIS R2000 Series	road	165| 170| 175	8	50-34T
FC-A073	TOURNEY A070 Series	road	165| 170	8/7	50-39-30T
FC-A070	TOURNEY A070 Series	road	165| 170	8/7	50-34T
FC-7710	DURA-ACE TRACK 7710 Series	road	165| 167.5| 170| 172.5| 175		45T| 46T| 47T| 48T| 49T| 50T| 51T| 52T| 53T| 54T| 55T
FC-CX50	CYCLOCROSS / ON-ROAD DISC BRAKE	road	170| 172.5| 175	10	46-36T
FC-RX810-2	GRX 11-speed	road	170| 172.5| 175	11	48-31T
FC-RX810-1	GRX 11-speed	road	170| 172.5| 175	11	42T| 40T
FC-RX600-11	GRX 11-speed	road	165| 170| 172.5| 175	11	46-30T
FC-RX600-10	GRX 10-speed	road	165| 170| 172.5| 175	10	46-30T
FC-RX600-1	GRX 11-speed	road	165| 170| 172.5| 175	11	40T
FC-RS510	SHIMANO	road	165| 170| 172.5| 175	11	52-36T| 50-34T| 46-36T
FC-M9120-B2	XTR M9100 Series	mtb	165| 170| 175	12	38-28T
FC-M9120-1	XTR M9100 Series	mtb	165| 170| 175	12	30T| 32T| 34T| 36T| 38T
FC-M9100-2	XTR M9100 Series	mtb	165| 170| 175	12	38-28T
FC-M9100-1	XTR M9100 Series	mtb	165| 170| 175	12	30T| 32T| 34T| 36T| 38T
FC-M9020-B2	XTR M9000 Series	mtb	170| 175	11	36-26T| 34-24T
FC-M9020-B1	XTR M9000 Series	mtb	170| 175	11	32T| 30T
FC-M9020-3	XTR M9000 Series	mtb	165| 170| 175| 180	11	40-30-22T
FC-M9020-2	XTR M9000 Series	mtb	165| 170| 175| 180	11	38-28T| 36-26T| 34-24T
FC-M9020-1	XTR M9000 Series	mtb	165| 170| 175| 180	11	36T| 34T| 32T| 30T
FC-M9000-2	XTR M9000 Series	mtb	170| 175	11	38-28T| 36-26T| 34-24T
FC-M9000-1	XTR M9000 Series	mtb	170| 175	11	36T| 34T| 32T| 30T
FC-M985	XTR M980 Series	mtb	170| 175	10	44T
FC-M980	XTR M980 Series	mtb	165| 170| 175| 180	10	38T
FC-M8000-B2	DEORE XT M8000 Series	mtb	170| 175| 180	11	36-26T| 34-24T
FC-M8000-B1	DEORE XT M8000 Series	mtb	170| 175| 180	11	32T| 30T
FC-M8000-3	DEORE XT M8000 Series	mtb	165| 170| 175| 180	11	40-30-22T
FC-M8000-2	DEORE XT M8000 Series	mtb	165| 170| 175| 180	11	38-28T| 36-26T| 34-24T
FC-M8000-1	DEORE XT M8000 Series	mtb	165| 170| 175| 180	11	34T| 32T| 30T
FC-M785	DEORE XT M780 Series	mtb	165| 170| 175| 180	10	40-28T| 38-26T| 38-24T
FC-M782	DEORE XT M780 Series	mtb	165| 170| 175| 180	10	40-30-22T
FC-M780	DEORE XT M780 Series	mtb	165| 170| 175| 180	10	42T
FC-M8130-1	DEORE XT M8100 Series	mtb	165| 170| 175| 180	12	28T| 30T| 32T| 34T
FC-M8120-B2	DEORE XT M8100 Series	mtb	165| 170| 175| 180	12	36-26T
FC-M8120-1	DEORE XT M8100 Series	mtb	165| 170| 175| 180	12	28T| 30T| 32T| 34T| 36T
FC-M8100-2	DEORE XT M8100 Series	mtb	165| 170| 175| 180	12	36-26T
FC-M8100-1	DEORE XT M8100 Series	mtb	165| 170| 175| 180	12	28T| 30T| 32T| 34T| 36T
FC-M7000-11-B2	SLX M7000 Series	mtb	170| 175	11	36-26T| 34-24T
FC-M7000-11-B1	SLX M7000 Series	mtb	170| 175	11	32T| 30T
FC-M7000-11-2	SLX M7000 Series	mtb	170| 175	11	38-28T| 36-26T| 34-24T
FC-M7000-11-1	SLX M7000 Series	mtb	170| 175	11	34T| 32T| 30T
FC-M7000-10-3	SLX M7000 Series	mtb	170| 175	10	40-30-22T
FC-M677	SLX M670 Series	mtb	165| 170| 175	10	38T
FC-M672	SLX M670 Series	mtb	165| 170| 175	10	40T
FC-M670	SLX M670 Series	mtb	170| 175	10	48T
FC-MT610	SHIMANO	mtb	170| 175	12	30T| 32T| 34T
FC-M7130-1	SLX M7100 Series	mtb	165| 170| 175	12	30T| 32T| 34T
FC-M7120-B2	SLX M7100 Series	mtb	165| 170| 175	12	36-26T
FC-M7120-1	SLX M7100 Series	mtb	165| 170| 175	12	30T| 32T| 34T
FC-M7100-2	SLX M7100 Series	mtb	165| 170| 175	12	36-26T
FC-M7100-1	SLX M7100 Series	mtb	165| 170| 175	12	30T| 32T| 34T
FC-M6000-3	DEORE M6000 Series	mtb	170| 175	10	40-30-22T
FC-M6000-2	DEORE M6000 Series	mtb	170| 175	10	36-26T| 34-24T
FC-M617-B2	DEORE M610 Series	mtb	170| 175	10	36-22T
FC-M617	DEORE M610 Series	mtb	170| 175	10	38-24T| 36-22T
FC-M615	DEORE M610 Series	mtb	170| 175	10	40T
FC-M612	DEORE M610 Series	mtb	170| 175	10	40T
FC-M610	DEORE M610 Series	mtb	170| 175	10	48T
FC-M6000-B2	DEORE M610 Series	mtb	170| 175	10	36-26T
FC-M4060	ALIVIO M4000 Series	mtb	165| 170| 175	9	48-36-26T
FC-M4050-B2	ALIVIO M4000 Series	mtb	170| 175	9	36-22T
FC-M4050	ALIVIO M4000 Series	mtb	165| 170| 175	9	40-30-22T
FC-M4000	ALIVIO M4000 Series	mtb	165| 170| 175	9	40-30-22T
FC-M3000-B2	ACERA M3000 Series	mtb	170| 175	9	36-22T
FC-M3000-8	ACERA M3000 Series	mtb	170| 175	9	40T
FC-M3000	ACERA M3000 Series	mtb	165| 170| 175	9	40-30-22T
FC-M2000	ALTUS M2000 Series	mtb	165| 170| 175	9	40-30-22T
FC-M371	ALTUS M370 Series	mtb	170| 175	9	44-32-22T| 48-36-26T
FC-TX801	TOURNEY TX800 Series	mtb	165| 170| 175	8/7/6	48-38-28T| 42-32-22T
FC-TY701	TOURNEY	mtb	165| 170| 175	8/7/6	42-34-24T
FC-TY501	TOURNEY	mtb	165| 170| 175	8/7/6	48-38-28T| 42-34-24T
FC-TY301	TOURNEY	mtb	170| 175	8/7/6	48-38-28T| 42-34-24T
FC-M825	SAINT M820 Series	mtb	165| 170| 175	10	38T| 36T| 34T
FC-M820	SAINT M820 Series	mtb	165| 170| 175	10	38T| 36T| 34T
FC-M645	ZEE M640 Series	mtb	165| 170| 175	10	38T| 36T| 34T
FC-M640	ZEE M640 Series	mtb	165| 170| 175	10	38T| 36T| 34T
FC-TY501-2	SHIMANO	mtb	170| 175	8/7	46-30T
FC-MT900-1	SHIMANO	mtb	170| 175	12	32T| 34T
FC-MT210-B2	ALIVIO M4000 Series	mtb	170| 175	9	36-22T
FC-MT210-3	ALIVIO M4000 Series	mtb	170| 175	9	44-32-22T| 40-30-22T
FC-MT210-2	ALIVIO M4000 Series	mtb	170| 175	9	46-30T| 36-22T
